,v,v_err,i,i_err,vi,vi_err,x,y
3204,19.334,0.01,18.593,0.005,0.741,0.0112,3055.501,3460.205
3205,18.22,0.024,17.554,0.003,0.666,0.0242,3043.522,3734.824
3206,17.67,0.004,16.981,0.003,0.689,0.005,3040.54,3862.951
3207,18.429,0.01,17.717,0.011,0.712,0.0149,3076.235,3065.68
3208,17.514,0.023,16.789,0.008,0.725,0.0244,3073.888,3124.15
3209,18.571,0.015,17.858,0.003,0.713,0.0153,3063.198,3298.08
3210,19.254,0.005,18.502,0.005,0.752,0.0071,3070.098,3484.95
3211,18.011,0.008,17.334,0.002,0.677,0.0082,3073.405,3510.308
3212,18.173,0.007,17.491,0.006,0.682,0.0092,3086.176,3541.113
3213,17.281,0.0017,16.52,0.003,0.761,0.0035,3069.642,3665.584
3214,18.518,0.005,17.821,0.004,0.697,0.0064,3064.103,3687.271
3215,19.143,0.017,18.418,0.01,0.725,0.0197,3068.374,3812.65
3216,18.574,0.011,17.884,0.005,0.69,0.0121,3088.002,3825.341
3217,18.938,0.021,18.145,0.009,0.793,0.0228,3109.473,3172.961
3218,18.719,0.002,18.006,0.009,0.713,0.0092,3110.117,3252.9
3219,19.415,0.007,18.641,0.003,0.774,0.0076,3112.111,3298.596
3220,19.157,0.013,18.359,0.017,0.798,0.0214,3089.428,3332.873
3221,18.9,0.009,18.197,0.011,0.703,0.0142,3108.143,3455.374
3222,18.611,0.005,17.913,0.003,0.698,0.0058,3110.389,3463.222
3223,18.514,0.009,17.812,0.006,0.702,0.0108,3100.683,3629.043
3224,16.091,0.0044,15.211,0.0043,0.88,0.0062,3103.227,3656.486
3225,18.847,0.006,18.121,0.004,0.726,0.0072,3107.549,3672.326
3226,18.476,0.005,17.754,0.005,0.722,0.0071,3098.439,3693.39
3227,19.198,0.007,18.465,0.01,0.733,0.0122,3098.968,3781.984
3228,19.051,0.002,18.324,0.008,0.727,0.0082,3100.418,3969.606
3229,18.379,0.014,17.685,0.005,0.694,0.0149,3137.273,3020.93
3230,19.353,0.025,18.587,0.017,0.766,0.0302,3117.247,3084.753
3231,18.528,0.018,17.848,0.005,0.68,0.0187,3114.218,3124.277
3232,19.398,0.014,18.646,0.006,0.752,0.0152,3117.06,3137.13
3233,16.111,0.0045,15.252,0.0045,0.859,0.0063,3135.283,3160.686
3234,19.354,0.006,18.614,0.02,0.74,0.0209,3127.049,3157.507
3235,17.24,0.005,16.443,0.004,0.797,0.0064,3129.757,3264.871
3236,18.75,0.012,17.985,0.006,0.765,0.0134,3122.252,3280.428
3237,19.16,0.011,18.415,0.003,0.745,0.0114,3125.357,3484.197
3238,18.78,0.011,18.067,0.003,0.713,0.0114,3133.032,3488.138
3239,18.495,0.008,17.792,0.008,0.703,0.0113,3124.271,3529.274
3240,18.765,0.006,18.059,0.007,0.706,0.0092,3113.245,3705.037
3241,18.295,0.009,17.61,0.003,0.685,0.0095,3132.18,3899.799
3242,18.944,0.021,18.217,0.007,0.727,0.0221,3139.215,3061.044
3243,18.726,0.002,18.036,0.005,0.69,0.0054,3141.895,3337.791
3244,18.75,0.006,18.034,0.01,0.716,0.0117,3151.518,3334.704
3245,17.956,0.008,17.266,0.002,0.69,0.0082,3146.602,3374.183
