,v,v_err,i,i_err,vi,vi_err,x,y
673,19.988,0.007,19.367,0.003,0.621,0.0076,1809.297,1951.755
674,19.829,0.004,19.218,0.014,0.611,0.0146,1828.97,1343.999
676,19.859,0.013,19.242,0.01,0.617,0.0164,1831.377,1484.459
677,19.302,0.007,18.738,0.006,0.564,0.0092,1831.851,1530.836
679,18.953,0.006,18.377,0.006,0.576,0.0085,1817.141,1780.95
680,17.931,0.003,17.25,0.003,0.681,0.0042,1828.502,1837.132
681,19.674,0.005,19.093,0.005,0.581,0.0071,1828.623,1850.281
682,17.927,0.006,17.25,0.004,0.677,0.0072,1823.627,1937.159
683,19.61,0.013,19.021,0.011,0.589,0.017,1852.761,1392.986
685,18.897,0.011,18.351,0.009,0.546,0.0142,1839.171,1545.01
687,19.487,0.006,18.859,0.005,0.628,0.0078,1851.891,1599.419
688,19.907,0.01,19.303,0.011,0.604,0.0149,1852.258,1664.757
689,18.183,0.005,17.569,0.008,0.614,0.0094,1853.288,1776.487
690,19.452,0.007,18.887,0.006,0.565,0.0092,1839.209,1856.502
691,18.048,0.012,17.414,0.012,0.634,0.017,1860.445,1845.701
692,19.294,0.041,18.721,0.019,0.573,0.0452,1860.752,1848.016
694,18.3,0.008,17.737,0.013,0.563,0.0153,1848.545,1905.885
697,18.959,0.011,18.412,0.007,0.547,0.013,1856.711,1983.58
699,20.035,0.022,19.355,0.012,0.68,0.0251,1872.43,1258.166
700,18.41,0.0,17.859,0.012,0.551,0.012,1871.183,1282.711
701,19.94,0.003,19.329,0.01,0.611,0.0104,1884.307,1313.816
703,19.532,0.008,18.968,0.003,0.564,0.0085,1874.287,1462.503
704,18.265,0.006,17.684,0.002,0.581,0.0063,1868.75,1628.163
705,18.735,0.009,18.186,0.009,0.549,0.0127,1871.854,1641.008
707,19.344,0.0038,18.772,0.0041,0.572,0.0056,1888.219,1167.297
709,19.892,0.009,19.282,0.002,0.61,0.0092,1903.808,1226.839
710,19.606,0.008,19.032,0.017,0.574,0.0188,1906.431,1261.688
711,19.134,0.003,18.589,0.005,0.545,0.0058,1890.856,1321.39
