,v,v_err,i,i_err,vi,vi_err,x,y,Vbin,Ibin
1620,18.96,0.005,18.356,0.003,0.604,0.0058,1459.03,2587.339,77,77
1621,18.799,0.009,18.207,0.013,0.592,0.0158,1442.303,2628.455,77,77
1622,18.557,0.005,17.978,0.005,0.579,0.0071,1459.432,2772.527,67,67
1623,18.321,0.008,17.754,0.005,0.567,0.0094,1456.397,2884.282,67,67
1624,18.81,0.008,18.156,0.008,0.654,0.0113,1443.797,2936.165,77,77
1625,17.55,0.001,16.99,0.004,0.56,0.0041,1453.043,2965.802,47,57
1626,18.703,0.003,18.121,0.005,0.582,0.0058,1460.411,2974.751,67,77
1627,19.114,0.006,18.489,0.003,0.625,0.0067,1484.99,2087.897,78,78
1628,18.817,0.012,18.23,0.01,0.587,0.0156,1475.297,2152.327,78,78
1629,18.206,0.007,17.653,0.006,0.553,0.0092,1473.951,2305.296,68,68
1630,15.884,0.0046,15.14,0.0049,0.744,0.0067,1485.534,2378.038,17,17
1631,18.408,0.006,17.843,0.003,0.565,0.0067,1487.478,2504.204,67,67
1632,18.151,0.005,17.594,0.012,0.557,0.013,1478.353,2547.512,67,67
1633,18.306,0.005,17.75,0.004,0.556,0.0064,1474.565,2667.747,67,67
1634,18.746,0.007,18.159,0.012,0.587,0.0139,1469.266,2931.808,77,77
1635,18.888,0.005,18.282,0.005,0.606,0.0071,1471.26,2956.663,77,77
1636,18.33,0.006,17.773,0.004,0.557,0.0072,1486.072,2980.507,67,67
1637,18.333,0.003,17.764,0.002,0.569,0.0036,1494.381,2066.467,68,68
1638,18.971,0.002,18.372,0.007,0.599,0.0073,1488.119,2208.663,78,78
1639,17.913,0.002,17.36,0.004,0.553,0.0045,1499.365,2342.326,57,57
1640,18.566,0.013,17.999,0.003,0.567,0.0133,1507.26,2406.691,67,67
1641,18.249,0.008,17.69,0.005,0.559,0.0094,1513.048,2691.807,67,67
1642,17.874,0.007,17.333,0.005,0.541,0.0086,1499.319,2727.513,57,57
