v,v_err,i,i_err,vi,vi_err,x,y
19.143,0.007,18.52,0.011,0.623,0.013,1700.014,1954.47
18.072,0.003,17.521,0.0032,0.551,0.0044,1718.002,1106.599
19.036,0.0046,18.424,0.0049,0.612,0.0067,1717.378,1123.728
19.062,0.005,18.453,0.005,0.609,0.0071,1735.225,1272.235
18.157,0.003,17.672,0.006,0.485,0.0067,1713.279,1621.7
17.36,0.003,16.777,0.005,0.583,0.0058,1730.518,1722.837
18.766,0.0041,18.175,0.0044,0.591,0.006,1748.187,1073.875
18.871,0.004,18.273,0.007,0.598,0.0081,1749.654,1236.456
16.894,0.0073,16.215,0.004,0.679,0.0084,1754.001,1255.641
17.661,0.004,17.11,0.008,0.551,0.0089,1740.816,1262.568
18.84,0.009,18.246,0.007,0.594,0.0114,1742.09,1335.542
17.768,0.004,17.214,0.005,0.554,0.0064,1759.633,1315.065
18.348,0.018,17.785,0.007,0.563,0.0193,1752.878,1442.977
19.158,0.009,18.533,0.009,0.625,0.0127,1759.953,1545.486
19.013,0.003,18.402,0.008,0.611,0.0085,1744.111,1741.188
17.741,0.003,17.188,0.002,0.553,0.0036,1751.114,1829.395
18.858,0.003,18.254,0.002,0.604,0.0036,1747.898,1864.4
19.108,0.008,18.496,0.006,0.612,0.01,1745.665,1924.242
18.565,0.002,17.999,0.006,0.566,0.0063,1768.232,1153.494
17.546,0.002,16.976,0.003,0.57,0.0036,1767.471,1473.152
