id x y Vvega err VIvega err Ivega err Vground Iground Nv  Ni wV wI xsig ysig othv othi qfitV qfitI RA Dec               
                                                                                                                        
                                                                                                                        
    90 3579.699  928.536   24.180   0.0540    0.888   0.0965   23.292   0.0800   24.440   23.256  4  4  1  1  0.006  0.013  0.000  0.000  0.090  0.090   182.5174155    18.5133962
    91 3596.778  619.662   23.536   0.0155    0.780   0.0225   22.756   0.0163   23.760   22.718  1  1  1  1  0.010  0.020  0.000  0.000  0.056  0.076   182.5171656    18.5091063
    92 3588.713  742.108   29.431   0.4400    1.445   0.5043   27.986   0.2463   29.845   27.973  2  1  1  1  0.203  0.159  0.000  0.000  1.309  1.843   182.5172837    18.5108069
    93 3590.234  881.961   24.169   0.0920    0.849   0.1109   23.320   0.0620   24.417   23.284  4  4  1  1  0.001  0.005  0.017  0.021  0.101  0.104   182.5172613    18.5127493
    94 3597.958  890.594   23.078   0.0220    0.678   0.0242   22.400   0.0100   23.266   22.360  2  3  1  1  0.003  0.014  0.000  0.001  0.049  0.060   182.5171481    18.5128692
    95 3606.872  953.687   25.307   0.0900    2.336   0.0946   22.971   0.0290   25.880   23.014  5  5  1  1  0.004  0.015  0.738  0.160  0.268  0.095   182.5170175    18.5137455
    96 3608.051  948.958   22.115   0.0110    0.565   0.0194   21.550   0.0160   22.260   21.508  5  5  1  1  0.003  0.002  0.001  0.011  0.031  0.034   182.5170003    18.5136798
    97 3618.384  758.224   28.227   0.7530   -0.602   0.8762   28.829   0.4479   28.142   28.715  2  1  1  1  0.068  0.119  0.000  0.000  1.318  1.297   182.5168491    18.5110307
    98 3622.717  774.472   26.994   0.6850    0.798   0.6903   26.196   0.0856   27.225   26.159  2  1  1  1  0.044  0.074  0.000  0.000  0.923  1.214   182.5167855    18.5112564
    99 3628.510  929.091   25.424   0.2030    1.128   0.2197   24.296   0.0840   25.756   24.269  5  5  1  1  0.001  0.005  0.000  0.000  0.209  0.199   182.5167006    18.5134039
   100 3667.587  635.292   26.321   0.0585    1.314   0.0750   25.007   0.0469   26.704   24.987  1  1  1  1  0.064  0.118  0.000  0.000  0.538  0.381   182.5161284    18.5093233
   101 3671.177  790.966   23.739   0.0480    0.771   0.0708   22.968   0.0520   23.960   22.929  3  3  1  1  0.002  0.021  0.000  0.000  0.076  0.081   182.5160757    18.5114854
   102 3669.104  943.519   26.831   0.4740    0.911   0.5599   25.920   0.2980   27.099   25.886  2  3  1  1  0.093  0.093  0.000  0.000  0.915  0.584   182.5161061    18.5136042
   103 3691.183  669.948   27.359   0.8370    1.612   1.3436   25.747   1.0510   27.811   25.742  2  2  1  1  0.106  0.053  0.000  0.000  0.765  0.494   182.5157829    18.5098046
   104 3710.826  782.353   21.083   0.0070    0.466   0.0071   20.617   0.0010   21.188   20.574  3  2  1  1  0.003  0.002  0.000  0.000  0.030  0.026   182.5154950    18.5113658
   105 3710.346  948.365   27.369   0.3800    1.186   0.7417   26.183   0.6370   27.718   26.158  3  5  1  1  0.013  0.000  0.000  0.000  0.831  0.729   182.5155019    18.5136715
   106 3731.456  748.588   25.527   0.1640    1.351   0.1772   24.176   0.0670   25.919   24.158  3  3  1  1  0.046  0.018  0.000  0.000  0.232  0.246   182.5151929    18.5108968
   107 3725.330  831.434   24.895   0.0260    0.913   0.0305   23.982   0.0160   25.163   23.948  2  2  1  1  0.014  0.019  0.000  0.000  0.143  0.146   182.5152826    18.5120474
   108 3718.780  845.817   26.714   0.5300    1.074   0.5399   25.640   0.1030   27.032   25.610  3  2  1  1  0.031  0.017  0.000  0.000  0.848  0.462   182.5153785    18.5122472
   109 3735.158  961.553   24.229   0.0510    0.894   0.0757   23.335   0.0560   24.491   23.300  4  4  1  1  0.000  0.018  0.000  0.000  0.092  0.097   182.5151385    18.5138546
   110 3756.324  635.582   27.655   0.1194    1.900   0.3812   25.755   0.3620   28.162   25.767  1  2  1  1  0.042  0.153  9.900  1.827  0.839  0.741   182.5148289    18.5093272
   111 3748.292  638.642   20.001   0.0190    0.460   0.0255   19.541   0.0170   20.104   19.498  2  2  1  1  0.002  0.003  0.000  0.000  0.027  0.026   182.5149465    18.5093697
   112 3759.839  690.850   24.240   0.0890    0.875   0.1346   23.365   0.1010   24.497   23.329  2  2  1  1  0.000  0.004  0.000  0.000  0.225  0.132   182.5147773    18.5100948
   113 3782.949  528.045   22.788   0.0109    1.184   0.0145   21.604   0.0095   23.136   21.579  1  1  1  1  0.002  0.015  0.000  0.000  0.057  0.045   182.5144389    18.5078337
   114 3784.182  628.476   25.836   0.0170    1.298   0.1718   24.538   0.1710   26.215   24.517  2  2  1  1  0.002  0.034  0.316  0.114  0.350  0.289   182.5144208    18.5092285
   115 3771.147  768.983   25.057   0.0370    0.932   0.0509   24.125   0.0350   25.331   24.091  2  3  1  1  0.001  0.055  0.000  0.000  0.201  0.173   182.5146115    18.5111800
