,v,v_err,i,i_err,vi,vi_err,x,y
4569,20.33,0.005,19.879,0.007,0.45455132242746843,0.0086,2605.703,3374.612
4571,21.364,0.01,20.903,0.007,0.46259556468285823,0.0122,2595.904,3416.655
4573,20.143,0.01,19.698,0.007,0.44611195116489777,0.0122,2609.724,3461.884
4575,21.0,0.015,20.53,0.022,0.4703482429989063,0.0266,2611.65,3494.012
4576,20.568,0.008,20.119,0.013,0.4498626828978684,0.0153,2596.496,3519.351
4579,20.386,0.007,19.941,0.004,0.445419641179876,0.0081,2599.852,3574.223
4581,21.604,0.008,21.096,0.011,0.5076252193421813,0.0136,2604.905,3624.716
4582,18.378,0.004,17.726,0.002,0.6497404510279443,0.0044,2588.895,3701.222
4586,20.634,0.013,20.166,0.007,0.46515900417992445,0.0148,2590.209,3976.516
4588,21.746,0.0188,21.169,0.0216,0.586208923374878,0.0286,2616.471,2988.167
4591,21.219,0.017,20.74,0.01,0.4880659990295826,0.0197,2631.969,3078.28
4594,21.443,0.021,20.965,0.009,0.4836066132079854,0.0228,2623.412,3131.189
4597,21.585,0.012,21.093,0.003,0.4967121431799903,0.0124,2622.736,3154.466
4598,21.474,0.005,20.968,0.01,0.511226734512386,0.0112,2626.222,3143.004
4599,20.001,0.008,19.555,0.009,0.4506775265306477,0.012,2630.581,3139.991
4601,19.713,0.01,19.207,0.011,0.5094916652554432,0.0149,2629.003,3201.817
4605,21.026,0.009,20.563,0.01,0.46601223646816914,0.0135,2621.384,3227.686
4606,21.674,0.009,21.166,0.007,0.5114916652554432,0.0114,2627.48,3224.265
4607,19.93,0.004,19.47,0.003,0.46301223646816914,0.005,2616.599,3253.81
4610,20.13,0.007,19.688,0.005,0.4445259146927626,0.0086,2627.609,3267.383
4611,20.472,0.005,20.026,0.01,0.44911663449925404,0.0112,2633.168,3337.975
4613,21.74,0.016,21.216,0.01,0.527116634499254,0.0189,2626.86,3347.18
4615,20.593,0.01,20.145,0.006,0.45111663449925404,0.0117,2628.382,3375.361
4616,21.012,0.008,20.541,0.007,0.47455132242746845,0.0106,2614.202,3394.67
4618,21.373,0.014,20.86,0.004,0.514724096873032,0.0146,2631.739,3434.226
4621,21.239,0.009,20.756,0.014,0.48334824299890633,0.0166,2618.899,3472.746
4625,21.338,0.016,20.864,0.011,0.4743482429989063,0.0194,2636.914,3497.558
4627,20.895,0.003,20.43,0.007,0.46538986849615366,0.0076,2627.357,3667.027
4628,20.3,0.004,19.87,0.007,0.42987745492221635,0.0081,2627.268,3683.772
4630,21.239,0.006,20.744,0.007,0.49529760655118577,0.0092,2636.065,3687.674
4631,20.508,0.003,20.06,0.007,0.44787745492221637,0.0076,2627.81,3702.281
4635,21.478,0.017,20.964,0.011,0.5111859444673676,0.0202,2631.986,3914.112
4637,18.374,0.0039,17.737,0.0044,0.6450618003143285,0.0059,2642.557,3058.636
4639,20.942,0.011,20.492,0.015,0.459496567987271,0.0186,2659.098,3042.618
4640,21.488,0.016,20.978,0.026,0.5161475953336272,0.0305,2648.986,3105.52
4642,21.492,0.013,20.991,0.009,0.5081900150012055,0.0158,2644.416,3129.615
4646,21.725,0.019,21.181,0.016,0.551450218504322,0.0248,2650.622,3168.8
4647,21.14,0.018,20.656,0.02,0.48946917184126654,0.0269,2657.687,3195.146
4648,20.462,0.009,20.019,0.004,0.44846917184126656,0.0098,2657.323,3197.83
4656,18.497,0.0042,17.83,0.001,0.6705790181018985,0.0043,2650.837,3309.239
4657,20.713,0.015,20.26,0.007,0.45599174145493837,0.0166,2639.535,3296.293
4659,19.707,0.014,19.208,0.008,0.5025884887925323,0.0161,2643.898,3311.014
4660,20.23,0.006,19.778,0.01,0.45557901810189844,0.0117,2654.134,3336.286
4661,20.312,0.01,19.869,0.013,0.44657901810189843,0.0164,2641.074,3356.818
4664,21.465,0.009,20.984,0.003,0.48182313681759076,0.0095,2656.016,3378.813
4665,21.281,0.006,20.793,0.008,0.49179424444775577,0.01,2656.346,3430.352
4666,20.531,0.011,20.084,0.009,0.44811195116489777,0.0142,2659.195,3456.103
4668,20.921,0.009,20.467,0.006,0.454419641179876,0.0108,2657.117,3469.112
4669,21.661,0.062,21.172,0.016,0.48934824299890634,0.064,2652.682,3513.509
4670,19.578,0.0,19.026,0.004,0.5527274831133131,0.004,2647.141,3558.456
