,v,v_err,i,i_err,vi,vi_err,x,y
1001,19.745,0.009,19.231,0.003,0.514,0.0095,788.815,1490.801
1004,18.503,0.003,17.922,0.004,0.581,0.005,808.284,1774.651
1005,20.363,0.006,19.788,0.005,0.575,0.0078,792.306,1804.636
1011,19.351,0.009,18.819,0.008,0.532,0.012,814.967,1442.808
1012,18.704,0.016,18.146,0.017,0.558,0.0233,826.97,1469.227
1016,19.497,0.005,18.994,0.001,0.503,0.0051,831.027,1729.281
1017,18.385,0.003,17.755,0.002,0.63,0.0036,813.51,1818.247
1018,19.247,0.007,18.746,0.005,0.501,0.0086,823.603,1847.753
1028,19.473,0.002,18.965,0.005,0.508,0.0054,841.524,1908.031
1034,19.519,0.017,19.027,0.005,0.492,0.0177,882.58,1685.825
