v,v_err,i,i_err,vi,vi_err,x,y
16.761,0.005,16.158,0.005,0.603,0.0071,2418.669,1120.969
17.023,0.009,16.395,0.011,0.628,0.0142,2429.166,1318.193
15.979,0.004,15.361,0.002,0.618,0.0045,2432.631,1483.217
17.269,0.006,16.628,0.004,0.641,0.0072,2414.954,1512.524
16.813,0.007,16.195,0.006,0.618,0.0092,2427.275,1498.361
18.17,0.004,17.445,0.009,0.725,0.0098,2418.55,1528.432
17.468,0.006,16.806,0.003,0.662,0.0067,2415.686,1557.301
16.507,0.012,15.898,0.006,0.609,0.0134,2435.418,1766.773
17.143,0.008,16.51,0.003,0.633,0.0085,2462.483,1434.577
18.232,0.015,17.493,0.005,0.739,0.0158,2450.451,1473.708
16.59,0.009,15.989,0.009,0.601,0.0127,2476.088,1313.366
16.688,0.007,16.072,0.005,0.616,0.0086,2478.062,1550.273
17.469,0.004,16.803,0.012,0.666,0.0126,2467.571,1874.621
15.498,0.012,14.649,0.004,0.849,0.0126,2480.82,1924.347
18.045,0.005,17.315,0.012,0.73,0.013,2472.203,1982.793
17.436,0.012,16.786,0.006,0.65,0.0134,2494.26,1368.315
17.864,0.002,17.159,0.005,0.705,0.0054,2504.6,1387.954
17.246,0.013,16.592,0.005,0.654,0.0139,2497.923,1434.557
18.182,0.009,17.455,0.019,0.727,0.021,2507.753,1575.777
16.909,0.002,16.285,0.003,0.624,0.0036,2501.533,1892.38
16.598,0.007,16.0,0.01,0.598,0.0122,2530.119,1255.921
18.078,0.002,17.363,0.012,0.715,0.0122,2527.09,1502.462
17.364,0.014,16.711,0.006,0.653,0.0152,2528.542,1698.878
16.379,0.002,15.776,0.006,0.603,0.0063,2535.095,1845.325
17.908,0.01,17.21,0.004,0.698,0.0108,2547.699,1047.591
15.783,0.007,15.12,0.002,0.663,0.0073,2540.505,1473.96
16.895,0.004,16.28,0.006,0.615,0.0072,2552.301,1595.08
16.447,0.009,15.831,0.007,0.616,0.0114,2555.093,1767.091
17.713,0.007,17.015,0.015,0.698,0.0166,2540.461,1821.656
16.59,0.003,15.985,0.006,0.605,0.0067,2547.954,1848.258
15.119,0.0064,14.342,0.009,0.777,0.0111,2553.887,1912.868
16.009,0.003,15.374,0.004,0.635,0.005,2546.599,1972.061
16.718,0.005,16.106,0.005,0.612,0.0071,2574.001,1335.218
17.769,0.004,17.091,0.004,0.678,0.0057,2566.083,1452.346
17.825,0.011,17.128,0.003,0.697,0.0114,2578.848,1668.705
17.606,0.013,16.944,0.006,0.662,0.0143,2563.103,1796.558
17.831,0.009,17.149,0.003,0.682,0.0095,2563.615,1979.698
16.876,0.012,16.265,0.005,0.611,0.013,2609.269,1014.494
16.41,0.009,15.807,0.004,0.603,0.0098,2611.99,1430.085
17.485,0.005,16.833,0.003,0.652,0.0058,2602.028,1546.995
18.076,0.008,17.352,0.007,0.724,0.0106,2595.009,1761.751
15.583,0.007,14.867,0.003,0.716,0.0076,2606.406,1756.218
18.021,0.003,17.306,0.003,0.715,0.0042,2590.635,1900.179
15.211,0.008,14.587,0.006,0.624,0.01,2620.21,1163.94
18.005,0.003,17.302,0.009,0.703,0.0095,2624.239,1336.158
17.674,0.017,16.989,0.008,0.685,0.0188,2621.422,1424.438
17.226,0.01,16.588,0.006,0.638,0.0117,2619.656,1509.773
16.073,0.005,15.466,0.003,0.607,0.0058,2621.844,1625.748
17.538,0.008,16.868,0.005,0.67,0.0094,2623.895,1927.746
16.4,0.007,15.796,0.002,0.604,0.0073,2634.327,1947.387
16.463,0.008,15.853,0.003,0.61,0.0085,2648.975,1098.915
17.742,0.009,17.071,0.008,0.671,0.012,2652.396,1111.503
16.917,0.014,16.3,0.005,0.617,0.0149,2657.233,1219.854
16.823,0.006,16.209,0.004,0.614,0.0072,2650.542,1412.507
18.185,0.008,17.453,0.006,0.732,0.01,2644.654,1615.931
16.563,0.011,15.96,0.004,0.603,0.0117,2645.859,1674.558
18.185,0.012,17.451,0.005,0.734,0.013,2648.654,1754.58
18.221,0.002,17.502,0.01,0.719,0.0102,2638.408,1834.887
17.083,0.007,16.45,0.002,0.633,0.0073,2646.316,1871.566
15.517,0.003,14.795,0.003,0.722,0.0042,2677.259,1673.411
17.676,0.009,16.999,0.008,0.677,0.012,2684.751,1781.666
17.377,0.004,16.732,0.001,0.645,0.0041,2667.875,1985.405
15.607,0.002,14.898,0.002,0.709,0.0028,2682.006,1968.129
16.686,0.017,16.062,0.005,0.624,0.0177,2688.488,1899.611
16.756,0.007,16.135,0.005,0.621,0.0086,2710.701,1963.79
16.75,0.008,16.134,0.008,0.616,0.0113,2723.174,1096.64
18.164,0.013,17.438,0.009,0.726,0.0158,2713.119,1594.2
18.114,0.009,17.385,0.01,0.729,0.0135,2723.167,1691.201
17.267,0.006,16.622,0.005,0.645,0.0078,2730.127,1795.759
17.262,0.003,16.627,0.012,0.635,0.0124,2745.986,1229.512
16.34,0.003,15.737,0.006,0.603,0.0067,2751.527,1399.067
