,v,v_err,i,i_err,vi,vi_err,x,y
678,17.066,0.008,16.533,0.021,0.533,0.0225,3718.762,917.938
679,18.846,0.01,18.243,0.008,0.603,0.0128,3732.354,934.504
682,17.167,0.01,16.64,0.006,0.527,0.0117,3721.042,945.299
683,18.006,0.007,17.491,0.021,0.515,0.0221,3725.957,951.781
684,17.992,0.008,17.466,0.004,0.526,0.0089,3728.872,973.237
686,18.78,0.0045,18.195,0.0052,0.585,0.0069,3753.871,653.032
687,17.292,0.0023,16.792,0.0027,0.5,0.0035,3748.811,666.03
688,18.15,0.0034,17.6,0.0039,0.55,0.0052,3755.499,694.628
690,18.097,0.014,17.567,0.014,0.53,0.0198,3738.789,766.907
691,18.023,0.013,17.507,0.024,0.516,0.0273,3747.761,776.345
693,18.101,0.002,17.557,0.007,0.544,0.0073,3745.714,811.865
697,18.922,0.009,18.323,0.018,0.599,0.0201,3747.888,838.353
699,18.291,0.022,17.752,0.008,0.539,0.0234,3750.073,877.459
704,17.363,0.006,16.835,0.013,0.528,0.0143,3758.569,918.935
706,18.197,0.008,17.656,0.01,0.541,0.0128,3746.202,961.505
707,17.471,0.008,16.959,0.007,0.512,0.0106,3748.775,971.832
709,18.878,0.0047,18.22,0.0052,0.658,0.007,3770.261,670.859
710,18.752,0.0044,18.145,0.015,0.607,0.0156,3771.189,740.862
714,17.582,0.015,17.061,0.005,0.521,0.0158,3763.076,852.013
715,17.059,0.009,16.495,0.008,0.564,0.012,3771.041,858.618
716,17.342,0.014,16.818,0.006,0.524,0.0152,3784.375,870.078
717,18.7,0.003,18.126,0.007,0.574,0.0076,3778.644,893.829
718,18.797,0.009,18.203,0.012,0.594,0.015,3770.447,926.076
719,17.534,0.012,17.025,0.012,0.509,0.017,3783.841,935.994
720,17.317,0.004,16.804,0.004,0.513,0.0057,3781.134,984.539
721,18.982,0.0049,18.397,0.0057,0.585,0.0075,3793.781,654.91
722,17.676,0.0027,17.161,0.0032,0.515,0.0042,3807.256,655.075
723,17.084,0.0021,16.549,0.0024,0.535,0.0032,3812.535,638.592
728,17.803,0.011,17.301,0.005,0.502,0.0121,3809.99,749.814
730,17.911,0.018,17.397,0.004,0.514,0.0184,3809.614,796.185
731,17.454,0.024,16.954,0.022,0.5,0.0326,3797.016,813.282
732,18.042,0.024,17.51,0.012,0.532,0.0268,3800.82,815.581
733,18.356,0.007,17.807,0.007,0.549,0.0099,3803.301,825.611
735,17.806,0.021,17.286,0.009,0.52,0.0228,3796.368,861.994
737,17.918,0.019,17.41,0.013,0.508,0.023,3797.778,898.072
738,18.73,0.013,18.153,0.007,0.577,0.0148,3803.029,904.259
741,18.526,0.013,17.97,0.003,0.556,0.0133,3798.103,935.442
742,16.738,0.009,16.084,0.007,0.654,0.0114,3790.437,954.554
744,18.347,0.0037,17.817,0.0043,0.53,0.0057,3823.539,662.428
746,17.602,0.0026,17.066,0.0031,0.536,0.004,3822.156,667.866
749,17.627,0.012,17.126,0.02,0.501,0.0233,3820.201,742.047
752,17.615,0.012,17.1,0.002,0.515,0.0122,3827.486,773.247
755,18.615,0.004,18.037,0.013,0.578,0.0136,3823.823,802.33
756,17.245,0.014,16.718,0.012,0.527,0.0184,3831.74,806.766
759,18.994,0.017,18.382,0.009,0.612,0.0192,3827.562,862.594
760,17.559,0.007,17.04,0.007,0.519,0.0099,3818.102,876.61
761,18.44,0.003,17.882,0.006,0.558,0.0067,3828.805,875.563
762,18.932,0.004,18.317,0.002,0.615,0.0045,3834.297,873.658
763,18.746,0.007,18.158,0.037,0.588,0.0377,3819.97,910.804
764,18.546,0.004,17.976,0.013,0.57,0.0136,3835.504,906.099
765,18.564,0.007,17.998,0.01,0.566,0.0122,3813.253,931.005
766,18.231,0.016,17.677,0.022,0.554,0.0272,3823.843,933.405
768,18.702,0.0043,18.131,0.005,0.571,0.0066,3859.152,634.612
769,17.626,0.0026,17.115,0.0031,0.511,0.0041,3840.698,639.534
770,17.9,0.003,17.397,0.0036,0.503,0.0047,3841.756,647.559
